question,answer
"How do I reset my password?","To reset your password, go to Settings -> Account -> Reset Password and follow the on-screen instructions."
"How can I change my email address?","You can change your email from Settings -> Profile. Enter the new email and confirm it."
"What is your refund policy?","We offer refunds within 30 days of purchase if the product is in its original condition."
"How do I contact customer support?","You can contact support by emailing support@example.com or using the Help section in the app."
"Can I change my subscription plan?","Yes, you can change your subscription plan at any time in the Billing section of your account."
"Is my payment information secure?","Yes, all payment information is processed through a secure, encrypted payment gateway."
"How do I delete my account?","To delete your account, go to Settings -> Security -> Delete Account. This action is permanent."
"Do you offer student discounts?","Yes, we offer student discounts with valid student verification. Contact support for more info."
"Can I use the service on multiple devices?","Yes, you can log in with the same account on multiple devices."
"How do I update the app?","You can update the app from the App Store or Google Play Store, depending on your device."
